id_candidato,nombre,id_distrito_postulacion,especie
488302,Kaia,1,Pez loro
115197,Hubert,1,Langosta
995616,Hailie,1,Aguila
516231,Mora,2,Caracol marino
219502,Elam,2,Zarigueya
243188,Valery,2,AraNa
189451,Brennan,3,Cangrejo ermitaNo
691946,Arizona,3,Petauro del azucar
73774,Nora,3,Pez leon
313909,Marlene,4,Petauro del azucar
686437,Leann,4,Delfin
246106,Don,5,Orca
951955,Blossom,5,Cangrejo yeti
628516,Corinne,6,Tortuga
626385,Cosmo,6,Medusa
962905,Edra,7,Escarabajo joya
479374,Eugenia,7,Narval
322489,Martha,8,Nu
358096,Vennie,8,Gecko
741774,Emiliano,9,Galago
999621,Lizzie,9,Delfin
503315,Isham,9,Estrella espinosa
441479,Phillis,10,Pez sierra
305142,Keegan,10,Bagre
17848,Regina,11,Avestruz
879338,Lawanda,11,Manati de tierra
301959,Robb,11,Barracuda
420214,Phillis,12,Antilope
628292,Aloma,12,Wombat
569844,Carmel,12,Manati
508371,Claude,13,Tarantula Goliat
596775,Emmett,13,Langosta espinosa
67514,Lorenz,13,Canario
22825,Breana,14,Coati
710522,Dudley,14,Hormiga
230462,Rice,15,Tiburon martillo
730204,Rosia,15,Numbat
534043,Caron,15,Aguila
925229,Randell,16,Bisonte
943356,Emmy,16,Gamba
613580,Regina,17,Narval
267669,Enrique,17,Nutria marina
394314,Davis,17,Delfin
665430,Annmarie,18,Mariposa
385680,Windy,18,Armadillo
563902,Kenji,18,PiraNa
982714,Georgianna,19,Puercoespin
391479,Aja,19,Pinguino emperador
131369,Lakeshia,20,Erizo de mar
225946,Noelia,20,Numbat
741514,Simpson,21,Barracuda
323608,Alcie,21,Murcielago
55821,Lizeth,22,Tarantula Goliat
556990,Tennille,22,Gato
312609,Karolyn,23,AraNa cangrejo
81135,Hildur,23,Escarabajo rinoceronte
838257,Idella,23,Aguila calva
653198,Marianita,24,Pez dorado
735709,Vashti,24,Coati
757080,Amma,25,Trucha
829126,Gertrude,25,Narval
121525,Armida,26,Caballito de mar
531805,Lavon,26,Numbat
