id_candidato,nombre,id_distrito_postulacion,especie
45977,Fatima,1,Narval
83940,Shyanne,1,Lemur
79282,Press,1,Pulpo
16070,Kobe,2,Burro
21431,Robt,2,Langosta
2904,Rosamond,3,Koala
65372,Alvin,3,Delfin nariz de botella
48278,Charla,4,Oso polar
21210,Lena,4,Salamandra
63739,Phyliss,5,Tigre
29610,Evalyn,5,Avestruz
505,Kamron,5,Pez globo
68074,Abigayle,6,Canario
33478,Cristine,6,Langosta gigante
87860,Timmie,6,Tortuga de agua
78513,Sunny,7,Mariposa Morpho
54418,Leonora,7,Tortuga marina
47386,Yancy,7,Ballena azul
20635,Alvira,8,Erizo de mar
28814,Shanelle,8,Cigarra
3203,Orland,9,Pez gato
14087,Armin,9,Hormiga
2657,Reese,10,Avestruz
38537,Gaylene,10,Mosca
92662,Dell,10,Manati
38474,Hall,11,Carpa
45744,Viney,11,Libelula
81851,Luigi,12,Castor
47184,Edison,12,AraNa
77824,Helaine,13,Medusa
37113,Gorden,13,Ciervo almizclero
47426,Allen,14,Gacela
52835,Brenna,14,Tiburon martillo
90517,Selina,14,Ciervo de cola blanca
50671,Mahalia,15,Escorpion
49712,Madisen,15,Bisonte
92659,Chace,16,Gallina
67820,Chaka,16,Lince
35578,Hermann,17,Zarigueya
3909,Hill,17,Tortuga de orejas rojas
55190,Debora,17,Tortuga marina
37617,Leisa,18,Numbat
2408,Darryl,18,Pavo real
13132,Lassie,18,Alce
73569,Mahalie,19,Esturion
91002,Metro,19,Buho
72767,Reino,19,Escarabajo Hercules
83997,Coty,20,Dingo
98583,Zandra,20,Aguila calva
97568,Johnny,21,Rata
50841,Efrem,21,Zorro
49220,Flem,22,Tarantula Goliat
28738,Kash,22,Ciervo almizclero
53509,Maryjane,23,Rinoceronte
84890,Mell,23,Armadillo
75617,Stevie,24,Burro
32595,Humberto,24,Langosta espinosa
25490,Lonnie,24,Panda
88088,Raekwon,25,Cigarra
21820,Aldona,25,Escarabajo Hercules
63843,Carmelo,25,Camaron
85606,Alphonso,26,Pez gato
86786,Rikki,26,Anguila
11825,Permelia,26,Ocelote
37412,Kimberli,27,Serpiente piton
43195,Hartley,27,Canguro
30958,Tatyanna,28,Escarabajo ciervo
35277,Jaye,28,Antilope saiga
79088,Gia,29,Zorro volador
8460,Abagail,29,Antilope saiga
13703,Early,30,Salamandra
51135,Mattye,30,Pez cirujano
66724,Donaciano,31,Hipopotamo
12150,Tracee,31,Elefante marino
94966,Alger,32,Ciervo de cola blanca
345,Azzie,32,Grillo
75245,Tracy,33,Tarantula
80420,Byron,33,Ciempies gigante
90583,Deanne,33,Libelula
79058,Early,34,Nutria gigante
50249,Severt,34,Pez angel
91723,Pleas,34,Lobo
12494,Morgan,35,Cigarra
57871,Abbott,35,Oryx
62598,Salina,36,Wombat
99157,Denton,36,Armadillo
44906,Spencer,37,Canario
24663,Gaston,37,PiraNa
93911,Jermaine,37,Gacela
85060,Madelene,38,Rana
3162,Larue,38,Gato
20946,Missy,38,Pez dorado
51317,Talan,39,Carpa
30283,Patsy,39,Antilope
44163,Denice,40,Tortuga de caja
45526,Val,40,Anguila
2875,Sally,40,Erizo
49991,Adilene,41,Murcielago
15069,Katherin,41,Ballena azul
43841,Ason,42,Tarantula Goliat
81748,Mammie,42,Leopardo marino
12622,Josefa,43,Coati
63899,Brent,43,Manati
64375,Lupe,43,Anguila
46370,Merry,44,Atun
51584,Kirsten,44,Delfin
90910,Jesse,45,Puercoespin
44012,Maddox,45,Nandu
42411,Keith,45,Gacela
48209,Camron,46,Cebra
12764,Isobel,46,Rata
4380,Diamond,46,Pinguino
94669,Dezzie,47,Caballo
59523,Antonina,47,Leon
39900,Renee,47,Orca
32656,Rhonda,48,Aguila
33055,Ezequiel,48,Lobo
10779,Cristian,48,Ballena azul
9599,Dereck,49,Hipopotamo
28718,Cecily,49,Nandu
88012,Nita,49,Caracol marino
21028,Trista,50,Tiburon
95653,Deneen,50,Antilope saiga
79887,Torrance,51,Alpaca
24257,Ambrose,51,Tiburon
58778,Valeria,51,Tarantula
87352,Encarnacion,52,Cangrejo de rio
21986,Raven,52,Tortuga marina
64366,Ralph,52,Jirafa
35450,Floy,53,Dingo
96395,Reynolds,53,PiraNa
62057,Sharde,53,PiraNa
66558,Kadin,54,Conejo
87946,Jill,54,Langostino
54044,Kennedy,55,Pato
23154,Almira,55,Delfin nariz de botella
29445,Sherrie,55,Pulpo de anillos azules
5635,Chessie,56,Tortuga de agua
98060,Karyl,56,Murcielago
220,Aiyana,57,Elefante
76370,Tanner,57,Estrella de mar
37358,Kari,58,Dingo
36842,Sheridan,58,Anguila
17937,Monserrat,58,Grillo
93815,Arielle,59,Mariposa
75568,Hyman,59,Hormiga reina
13709,Lourdes,59,Wallaby
52921,Michal,60,Babosa
19575,Donavon,60,Oso polar
48872,Melvin,60,Guepardo
86174,Romona,61,Nandu
72099,Byrd,61,Nutria marina
20886,Aditya,62,Caracol de agua dulce
62021,Armando,62,Cocodrilo
37207,Ephram,63,Cebra
65794,Kaci,63,Cangrejo de mar
58096,Yamilet,64,Tapir
26422,Metro,64,Tiburon blanco
92779,Marc,65,Iguana
78691,Jaret,65,Pez payaso
21542,Orvel,66,Cangrejo de mar
68170,Adelina,66,Mariposa
82013,Doss,66,Tigre
7577,Randi,67,Armadillo
80882,Grayson,67,Numbat
88651,Burdette,68,Pez espada
43821,Alda,68,Armadillo
44971,Goebel,69,Escarabajo ciervo
9816,Tamica,69,Leopardo marino
20729,Tai,70,Pez dorado
3343,Doctor,70,Pinguino
8113,Daniella,71,Lemur
43249,Yareli,71,Cocodrilo
64150,Lottie,71,Pez espada
6349,Marci,72,Orca
7472,Martin,72,Buho
82077,Karla,72,Nutria de rio
30522,Augusta,73,Cocodrilo del Nilo
63139,Ransom,73,Cisne
92531,Armond,73,Gato
8018,Marnita,74,Narval
33174,Etter,74,Delfin nariz de botella
88891,Harlie,75,Pez payaso
93604,Evangeline,75,Pez loro
19662,Sheridan,76,Antilope
74974,Bria,76,Medusa
10691,Chalmers,76,Numbat
3571,Shavonne,77,Jirafa
53213,Jaimie,77,Tortuga de caja
89332,Derrick,77,Avestruz
47120,Tal,78,Nutria
35190,Giovanni,78,Estrella espinosa
55974,Lorenza,78,Mariposa
87711,Shenna,79,Lemur
33827,Jacqueline,79,Ocelote
82245,Kaaren,79,Nutria marina
52173,Genie,80,Pinguino
79156,Dorman,80,Tiburon martillo
29214,Griffin,81,Manta
4781,Agness,81,Alce
12832,Abb,82,Colibri
10456,Jeremie,82,PiraNa
96642,Heber,82,Gallina
53587,Charlton,83,Lobo
76263,Daren,83,Raya
48534,Turner,84,Pez angel
4865,Adela,84,Hipopotamo
73792,Demonte,85,Pavo real
54513,Burrell,85,Cangrejo yeti
94848,Amir,85,Wallaby
