id,nombre,especie,id_comuna,peso_kg,edad,fecha_nacimiento
1,Anton,Antílope saiga,239,34.0,16,2007/2
2,Nevaeh,Estrella espinosa,42,0.24,42,1982/11
3,Harrison,Camarón,133,0.0131,88,1936/12
4,Renaldo,Medusa,91,0.5,79,1944/3
5,Kunta,Dorado,104,11.25,63,1961/8
6,Clare,Águila calva,248,4.8,27,1997/7
7,Doshie,Bisonte,224,528.0,20,2004/12
8,Philo,Caracol de jardín,101,0.129,85,1938/2
9,Rossie,Alce,328,368.0,31,1993/6
10,Baby,Elefante marino,266,992.0,81,1943/8
11,Sondra,Langostino,322,0.276,45,1979/7
12,Sienna,Murciélago,74,0.0351,83,1940/3
13,Janis,Petauro del azúcar,300,0.1155,42,1982/7
14,Neola,Jirafa,253,1224.0,1,2022/2
15,Sommer,Pez dorado,288,0.106,6,2018/8
16,Kimberley,Erizo,313,1.38,70,1953/4
17,Leonce,Pato,29,1.77,40,1984/7
18,Patrick,Mariposa monarca,172,0.00242,90,1933/1
19,Mafalda,Armadillo,334,11.68,27,1997/7
20,Vela,Cocodrilo de agua salada,88,630.0,102,1922/6
21,Ethelyn,Erizo de mar,248,0.4,67,1956/3
22,Oma,Tiburón,131,275.0,100,1924/9
23,Alvera,Gacela,28,70.0,7,2016/3
24,Tyesha,Tapir,302,185.0,60,1964/5
25,Elois,Saltamontes,288,0.00147,35,1989/7
26,Dalvin,Manatí de tierra,102,287.0,27,1996/4
27,Jefferey,Gallina,52,2.05,18,2005/1
28,Dionte,Cocodrilo del Nilo,97,355.0,49,1974/3
29,Carlos,Camarón,32,0.0133,89,1934/1
30,Lucia,Hormiga,288,0.00117,28,1996/5
31,Scarlett,Morsa,141,459.0,5,2019/6
32,Jovan,Nutria gigante,317,41.7,62,1962/6
33,Jayda,Canguro,325,41.5,7,2017/6
34,Lolla,Pez mariposa,205,0.068,52,1971/2
35,Leda,León,89,155.8,60,1964/6
36,Christion,Medusa,266,0.74,48,1976/7
