id_voto,id_animal_votante,id_local,id_candidato
1,385,1,3055
2,626,1,2055
3,1272,2,3055
4,1763,2,3055
5,1846,2,2055
6,1885,2,3055
7,2055,2,3055
8,2390,2,2055
9,3055,2,3055
10,3203,3,2055
11,3227,3,3055
12,3532,3,3055
13,3559,3,2055
14,3618,3,3055
15,3667,4,2055
16,3983,5,2055
17,3984,6,2055
18,4004,7,2055
19,4093,8,2055
20,4217,8,3055
21,4563,8,3055
22,4759,8,2055
23,4908,8,3055
24,5131,8,2055
25,5657,8,2055
26,6257,8,2055
27,6344,9,3055
28,6354,9,2055
29,6376,9,2055
30,6617,9,2055
31,6740,9,2055
32,6755,9,3055
33,7114,9,3055
34,7122,9,3055
35,7941,9,3055
36,8453,9,3055
37,9035,9,3055
38,9407,9,2055
39,714,10,3055
40,1475,10,2055
41,2095,11,3055
42,2100,12,3055
43,2472,12,2055
44,2790,12,3055
45,2903,12,2055
46,3312,12,2055
47,3420,12,3055
48,3461,13,2055
49,3968,13,3055
50,4403,13,2055
51,4755,13,2055
52,4909,13,3055
53,4912,13,2055
54,5429,13,3055
55,5634,13,2055
56,6371,13,2055
57,6800,13,3055
58,7405,14,3055
59,7551,14,3055
60,7662,14,3055
61,8047,14,3055
62,8817,14,2055
63,9084,14,3055
64,9313,14,2055
65,38,15,6400
66,375,15,7691
67,688,15,7691
68,722,15,7691
69,802,15,6400
70,852,16,6400
71,1049,16,6400
72,1236,17,6182
73,1524,17,6400
74,1782,17,6400
75,2007,17,6400
76,2178,17,6182
77,3535,17,7691
78,3567,17,6400
79,3732,18,6400
80,3951,18,6182
81,4785,18,7691
82,5020,18,6400
83,5083,18,6182
84,5233,19,6182
85,5292,19,6182
86,6073,20,6400
87,6182,21,6182
88,6400,21,6182
89,6815,21,7691
90,7533,21,6400
91,7605,21,6182
92,7691,21,6182
93,8018,22,7691
94,8029,22,6400
95,8168,22,7691
96,8451,22,7691
97,8667,22,7691
98,9020,22,6182
99,9056,22,6400
100,9368,22,7691
101,9804,22,6182
102,9901,22,6182
103,297,23,9559
104,738,23,9559
105,1177,23,7561
106,1465,23,7561
107,1649,23,9559
108,1794,23,7561
109,1942,23,7561
110,2034,23,7561
111,2090,23,7561
112,2677,24,9012
113,3168,24,9012
114,3855,24,9559
115,4772,24,9559
116,5426,24,7561
117,5675,24,9559
118,5740,24,9012
119,6742,24,7561
120,7265,24,9012
121,7385,24,7561
122,7561,24,9012
123,7757,24,9012
124,8111,25,9012
125,8416,26,9559
126,8884,26,9012
127,9012,26,9559
128,9300,26,9559
129,9559,27,9012
130,9801,27,7561
131,570,28,9559
132,599,28,7561
133,655,28,9012
134,667,28,7561
135,951,28,9012
136,1599,28,7561
137,2308,28,7561
138,2628,28,9012
139,2924,29,7561
140,2954,30,7561
141,3198,30,7561
142,3353,30,7561
143,3722,30,9559
144,5008,31,7561
145,5061,31,9012
146,5202,31,7561
147,5484,32,7561
148,5716,33,7561
149,5881,34,9012
150,5995,35,7561
151,6166,35,9559
152,6206,35,9559
153,7221,35,7561
154,7550,35,9559
155,7630,36,7561
156,8149,36,7561
157,8270,36,9559
158,8434,36,9012
159,8494,37,9559
160,8613,38,9012
161,8818,38,9559
162,9053,38,9559
163,9316,38,7561
164,9682,38,9012
165,74,39,5385
166,466,39,81
167,630,39,5385
168,864,39,5385
169,1428,39,5385
170,1637,39,81
171,2264,40,81
172,2438,40,81
173,2603,41,81
174,3290,41,5385
175,3505,41,5385
176,4010,42,5385
177,4094,43,81
178,4396,44,81
179,5198,44,5385
180,5341,44,81
181,5690,44,81
182,5809,44,81
183,5896,45,81
184,6083,46,5385
185,6254,47,81
186,6466,48,5385
187,7404,48,5385
188,7596,49,81
189,8000,50,81
190,8160,50,5385
191,8654,50,81
192,8921,50,81
193,9015,50,5385
194,9121,50,5385
195,9166,50,81
196,9296,50,81
197,9346,51,81
198,1202,52,81
199,1773,52,5385
200,1784,52,81
201,2220,52,5385
202,2348,52,81
203,2505,52,5385
204,2734,52,81
205,3036,52,81
206,3105,52,81
207,3202,52,81
208,3458,52,5385
209,4075,53,81
210,4143,53,81
211,4233,53,5385
212,4282,54,81
213,4872,54,81
214,4879,54,81
215,5223,54,81
216,5296,55,5385
217,5733,55,81
218,5817,55,5385
219,6471,55,81
220,6496,55,5385
221,6680,55,81
222,6788,55,81
223,6955,55,5385
224,7056,55,81
225,7095,55,5385
226,7301,55,81
227,7909,56,81
228,8119,56,5385
229,8254,56,5385
230,9099,56,5385
231,9546,56,5385
232,9842,56,81
233,9864,56,81
234,9921,57,81
235,9938,57,5385
236,680,58,5385
237,902,58,5385
238,955,58,81
239,1326,58,81
240,1417,58,5385
241,1786,59,81
242,2391,60,81
243,2407,61,81
244,2533,62,5385
245,2670,62,5385
246,2803,62,81
247,2861,62,81
248,3022,62,81
249,4274,62,81
250,4320,62,5385
251,4833,62,5385
252,5658,62,81
253,5765,62,81
254,5845,62,5385
255,6348,62,5385
256,6403,62,5385
257,6785,62,81
258,7206,63,81
259,7208,63,81
260,7267,64,81
261,7330,64,81
262,7838,64,81
263,8175,64,5385
264,8246,64,5385
265,9090,65,81
266,9601,65,81
267,9926,65,5385
268,98,66,81
269,226,66,5385
270,298,66,81
271,1081,66,81
272,1176,66,5385
273,1220,66,5385
274,1408,66,81
275,1418,66,5385
276,1547,66,81
277,2048,67,81
278,2086,67,5385
279,2462,67,81
280,2539,67,5385
281,2881,68,81
282,3351,68,81
283,5078,68,81
284,6153,68,81
285,6377,68,81
286,6917,69,5385
287,6947,69,5385
288,7134,69,81
289,7263,69,5385
290,7576,69,5385
291,7747,69,81
292,7812,69,81
293,7817,69,81
294,7862,69,81
295,8253,69,5385
296,8515,69,81
297,8674,69,81
298,9076,69,81
299,9215,70,81
300,9438,70,5385
301,266,71,81
302,648,71,5385
303,925,71,81
304,971,71,81
305,1040,71,5385
306,1371,71,5385
307,2351,71,81
308,2884,71,5385
309,3514,71,81
310,3592,72,5385
311,4078,73,81
312,4308,73,5385
313,4587,73,5385
314,4657,74,81
315,5097,75,81
316,6060,75,5385
317,6316,75,81
318,7170,75,5385
319,7275,75,81
320,8089,75,81
321,8414,75,81
322,8463,75,5385
323,8539,75,5385
324,8877,76,81
325,8994,76,5385
326,9002,76,5385
327,9605,76,81
328,9828,77,5385
329,231,78,5385
330,1113,78,81
331,1255,78,81
332,1341,78,5385
333,1534,78,5385
334,1934,78,5385
335,1965,78,81
336,2329,79,81
337,2712,80,81
338,2746,80,81
339,3368,80,81
340,3730,80,5385
341,3898,81,5385
342,4379,81,5385
343,4929,81,81
344,5550,81,5385
345,5575,81,5385
346,6037,81,81
347,6894,81,5385
348,7381,81,81
349,7560,82,5385
350,8010,82,81
351,8241,82,5385
352,9600,82,5385
353,9692,82,81
354,9731,82,81
355,9897,83,5385
356,365,84,5385
357,445,84,5385
358,658,85,5385
359,934,85,81
360,1233,85,81
361,1338,85,5385
362,1449,85,5385
363,1460,85,5385
364,1698,85,81
365,2239,85,81
366,3166,85,81
367,3998,85,5385
368,4498,85,5385
369,4876,85,5385
370,5222,85,81
371,6198,85,81
372,6404,85,81
373,7552,85,5385
374,7735,85,5385
375,7759,85,81
376,8385,85,5385
377,8545,85,5385
378,8876,85,5385
